reg;naimko;regko;golofic;filial;dopof;vsego
Рязанская область;АКБ «Ланта-Банк» (АО);1920;;;1;1
Рязанская область;ООО «ЖИВАГО БАНК»;2065;1;;2;3
Рязанская область;ПАО Банк «ФК Открытие»;2209;;;1;1
Рязанская область;ТКБ БАНК ПАО;2210;;;1;1
Рязанская область;ПАО «МТС-Банк»;2268;;;1;1
Рязанская область;ПАО РОСБАНК;2272;;;1;1
Рязанская область;ПАО «БАНК УРАЛСИБ»;2275;;;1;1
Рязанская область;АО «Банк Русский Стандарт»;2289;;;2;2
Рязанская область;АО АКБ «НОВИКОМБАНК»;2546;;;1;1
Рязанская область;АО КБ «Ситибанк»;2557;;;1;1
Рязанская область;Банк «Вятич» (ПАО);2796;1;;;1
Рязанская область;АО «Банк ФИНАМ»;2799;;;1;1
Рязанская область;(АО «Банк „Агророс“);2860;;;1;1
Рязанская область;ПАО АКБ «АВАНГАРД»;2879;;;2;2
Рязанская область;ПАО «Промсвязьбанк»;3251;;;5;5
Рязанская область;АО «Газэнергобанк»;3252;;;1;1
Рязанская область;Банк «ВБРР» (АО);3287;;;1;1
Рязанская область;АО «Россельхозбанк»;3349;;1;21;22
Рязанская область;АО «Банк Финсервис»;3388;;;1;1
Рязанская область;НКО «ИНКАХРАН» (АО);3454;;;1;1
Смоленская область;ООО «ХКФ Банк»;316;;;1;1
Смоленская область;Банк ГПБ (АО);354;;;2;2
Смоленская область;АО «Почта Банк»;650;;;4;4
Смоленская область;ПАО «Совкомбанк»;963;;;1;1
Смоленская область;Банк ВТБ (ПАО);1000;;;9;9
Смоленская область;АО «РЕАЛИСТ БАНК»;1067;;;2;2
Смоленская область;АО «АЛЬФА-БАНК»;1326;;;2;2
Смоленская область;ПАО Сбербанк;1481;;1;57;58
Смоленская область;ПАО Банк «ФК Открытие»;2209;;;6;6
Смоленская область;ПАО РОСБАНК;2272;;;1;1
Смоленская область;ПАО «БАНК УРАЛСИБ»;2275;;;2;2
Смоленская область;АО «Банк Русский Стандарт»;2289;;;1;1
Смоленская область;АО «Банк ФИНАМ»;2799;;;1;1
Смоленская область;ПАО «Промсвязьбанк»;3251;;;2;2
Смоленская область;АО «Газэнергобанк»;3252;;;4;4
Смоленская область;Банк «ВБРР» (АО);3287;;;1;1
Смоленская область;АО «Райффайзенбанк»;3292;;;1;1
Смоленская область;АО «ПроБанк»;3296;;;4;4
Смоленская область;АО «Россельхозбанк»;3349;;1;8;9
Смоленская область;НКО «ИНКАХРАН» (АО);3454;;;1;1
Тамбовская область;ООО «ХКФ Банк»;316;;;1;1
Тамбовская область;АО «АБ „РОССИЯ“;328;;;1;1
Тамбовская область;Банк ГПБ (АО);354;;;1;1
Тамбовская область;ПАО КБ «УБРиР»;429;;;1;1
Тамбовская область;АО «Почта Банк»;650;;;3;3
Тамбовская область;ПАО «Совкомбанк»;963;;;1;1
Тамбовская область;Банк ВТБ (ПАО);1000;;;4;4
